actors,m
"{name:Jim Broadbent,born:1949}","{title:Cloud Atlas,tagline:Everything is connected,released:2012}"
"{name:Halle Berry,born:1966}","{title:Cloud Atlas,tagline:Everything is connected,released:2012}"
"{name:Tom Hanks,born:1956}","{title:Cloud Atlas,tagline:Everything is connected,released:2012}"
"{name:Ben Miles,born:1967}","{title:V for Vendetta,tagline:Freedom! Forever!,released:2006}"
"{name:John Hurt,born:1940}","{title:V for Vendetta,tagline:Freedom! Forever!,released:2006}"
"{name:Stephen Rea,born:1946}","{title:V for Vendetta,tagline:Freedom! Forever!,released:2006}"
"{name:Natalie Portman,born:1981}","{title:V for Vendetta,tagline:Freedom! Forever!,released:2006}"
"{name:Laurence Fishburne,born:1961}","{title:The Matrix Revolutions,tagline:Everything that has a beginning has an end,released:2003}"
"{name:Carrie-Anne Moss,born:1967}","{title:The Matrix Revolutions,tagline:Everything that has a beginning has an end,released:2003}"
"{name:Keanu Reeves,born:1964}","{title:The Matrix Revolutions,tagline:Everything that has a beginning has an end,released:2003}"
"{name:Laurence Fishburne,born:1961}","{title:The Matrix Reloaded,tagline:Free your mind,released:2003}"
"{name:Carrie-Anne Moss,born:1967}","{title:The Matrix Reloaded,tagline:Free your mind,released:2003}"
"{name:Keanu Reeves,born:1964}","{title:The Matrix Reloaded,tagline:Free your mind,released:2003}"
"{name:Keanu Reeves,born:1964}","{title:The Matrix,tagline:Welcome to the Real World,released:1999}"
"{name:Emil Eifrem,born:1978}","{title:The Matrix,tagline:Welcome to the Real World,released:1999}"
"{name:Laurence Fishburne,born:1961}","{title:The Matrix,tagline:Welcome to the Real World,released:1999}"
"{name:Carrie-Anne Moss,born:1967}","{title:The Matrix,tagline:Welcome to the Real World,released:1999}"
"{name:Samuel L. Jackson,born:1948}","{title:Captain America: The First Avenger,tagline:Cant Get Enough Marvel?,released:2011}"
"{name:Chris Evans,born:1981}","{title:Captain America: The First Avenger,tagline:Cant Get Enough Marvel?,released:2011}"
