"[r IN relationships(path) | r.name + "": "" + type(r)]",total_dist
"[Darjeeling-Tumbling: trek,Tumbling-Gairibus: trek,Gairibus-BhikeBhanja: trek,BhikeBhanja-Sandakphu: trek]",32
"[Darjeeling-Tumbling: road,Tumbling-Gairibus: trek,Gairibus-BhikeBhanja: trek,BhikeBhanja-Sandakphu: trek]",32
"[Darjeeling-Tumbling: trek,Tumbling-Gairibus: road,Gairibus-BhikeBhanja: trek,BhikeBhanja-Sandakphu: trek]",32
"[Darjeeling-Tumbling: road,Tumbling-Gairibus: road,Gairibus-BhikeBhanja: trek,BhikeBhanja-Sandakphu: trek]",32
"[Darjeeling-Tumbling: trek,Tumbling-Gairibus: twowheeler,Gairibus-BhikeBhanja: trek,BhikeBhanja-Sandakphu: trek]",32
"[Darjeeling-Tumbling: road,Tumbling-Gairibus: twowheeler,Gairibus-BhikeBhanja: trek,BhikeBhanja-Sandakphu: trek]",32
"[Darjeeling-Tumbling: trek,Tumbling-Gairibus: trek,Gairibus-BhikeBhanja: road,BhikeBhanja-Sandakphu: trek]",32
"[Darjeeling-Tumbling: road,Tumbling-Gairibus: trek,Gairibus-BhikeBhanja: road,BhikeBhanja-Sandakphu: trek]",32
"[Darjeeling-Tumbling: trek,Tumbling-Gairibus: road,Gairibus-BhikeBhanja: road,BhikeBhanja-Sandakphu: trek]",32
"[Darjeeling-Tumbling: road,Tumbling-Gairibus: road,Gairibus-BhikeBhanja: road,BhikeBhanja-Sandakphu: trek]",32
"[Darjeeling-Tumbling: trek,Tumbling-Gairibus: twowheeler,Gairibus-BhikeBhanja: road,BhikeBhanja-Sandakphu: trek]",32
"[Darjeeling-Tumbling: road,Tumbling-Gairibus: twowheeler,Gairibus-BhikeBhanja: road,BhikeBhanja-Sandakphu: trek]",32
"[Darjeeling-Tumbling: trek,Tumbling-Gairibus: trek,Gairibus-BhikeBhanja: twowheeler,BhikeBhanja-Sandakphu: trek]",32
"[Darjeeling-Tumbling: road,Tumbling-Gairibus: trek,Gairibus-BhikeBhanja: twowheeler,BhikeBhanja-Sandakphu: trek]",32
"[Darjeeling-Tumbling: trek,Tumbling-Gairibus: road,Gairibus-BhikeBhanja: twowheeler,BhikeBhanja-Sandakphu: trek]",32
"[Darjeeling-Tumbling: road,Tumbling-Gairibus: road,Gairibus-BhikeBhanja: twowheeler,BhikeBhanja-Sandakphu: trek]",32
"[Darjeeling-Tumbling: trek,Tumbling-Gairibus: twowheeler,Gairibus-BhikeBhanja: twowheeler,BhikeBhanja-Sandakphu: trek]",32
"[Darjeeling-Tumbling: road,Tumbling-Gairibus: twowheeler,Gairibus-BhikeBhanja: twowheeler,BhikeBhanja-Sandakphu: trek]",32
"[Darjeeling-Rimbik: PublicTransport,Rimbik-BhikeBhanja: trek,BhikeBhanja-Sandakphu: trek]",37
"[Darjeeling-Rimbik: road,Rimbik-BhikeBhanja: trek,BhikeBhanja-Sandakphu: trek]",37
"[Darjeeling-Rimbik: trek,Rimbik-BhikeBhanja: trek,BhikeBhanja-Sandakphu: trek]",37
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: trek,Sirikhola-Gurdum: trek,Gurdum-Sandakphu: trek]",37
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: trek,Sirikhola-Gurdum: trek,Gurdum-Sandakphu: trek]",37
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: trek,Sirikhola-Gurdum: trek,Gurdum-Sandakphu: trek]",37
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: twowheeler,Sirikhola-Gurdum: trek,Gurdum-Sandakphu: trek]",37
